STATISTIC Label,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Aggravated burglary,Number,30
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Burglary (not aggravated),Number,2539
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,"Possession of an article (with intent to burgle, steal, demand)",Number,47
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Theft and related offences,Number,9420
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Theft/taking of vehicle and related offences,Number,1930
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Theft from person,Number,1135
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Theft from shop,Number,1917
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,"Other thefts, handling stolen property",Number,4438
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,"Fraud, deception and related offences",Number,213
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Controlled drug offences,Number,859
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Importation of drugs,Number,6
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Cultivation or manufacture of drugs,Number,1
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Possession of drugs for sale or supply,Number,344
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Possession of drugs for personal use,Number,462
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Other drug offences,Number,46
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Weapons and Explosives Offences,Number,224
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences",Number,0
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Discharging a firearm,Number,19
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Possession of a firearm,Number,33
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.),Number,172
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Fireworks offences,Number,0
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Damage to property and to the environment,Number,3540
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Arson,Number,120
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Criminal damage (not arson),Number,3418
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Litter offences,Number,2
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Public order and other social code offences,Number,3707
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Disorderly conduct,Number,3061
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Trespass offences,Number,221
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Liquor licensing offences,Number,64
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Prostitution offences,Number,57
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences",Number,30
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Social code offences (n.e.c.),Number,274
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime",Number,820
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Offences against government and its agents,Number,12
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,Perverting the course of justice,Number,29
Recorded crime incidents,2003Q2,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders",Number,779
Recorded crime incidents,2003Q2,20 North Western Region,Homicide offences,Number,1
Recorded crime incidents,2003Q2,20 North Western Region,Murder,Number,0
Recorded crime incidents,2003Q2,20 North Western Region,Manslaughter,Number,0
Recorded crime incidents,2003Q2,20 North Western Region,Infanticide,Number,0
Recorded crime incidents,2003Q2,20 North Western Region,Dangerous driving leading to death,Number,1
Recorded crime incidents,2003Q2,20 North Western Region,Sexual offences,Number,75
Recorded crime incidents,2003Q2,20 North Western Region,Rape and sexual assault,Number,74
Recorded crime incidents,2003Q2,20 North Western Region,Other sexual offences,Number,1
Recorded crime incidents,2003Q2,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,813
Recorded crime incidents,2003Q2,20 North Western Region,Murder-attempt,Number,0
Recorded crime incidents,2003Q2,20 North Western Region,Threat to kill or cause serious harm,Number,1
Recorded crime incidents,2003Q2,20 North Western Region,Harassment and related offences,Number,54
Recorded crime incidents,2003Q2,20 North Western Region,"Assault causing harm, poisoning",Number,221
Recorded crime incidents,2003Q2,20 North Western Region,Other assault,Number,537
Recorded crime incidents,2003Q2,20 North Western Region,Dangerous or negligent acts,Number,763
Recorded crime incidents,2003Q2,20 North Western Region,Dangerous driving causing serious bodily harm,Number,1
Recorded crime incidents,2003Q2,20 North Western Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,729
Recorded crime incidents,2003Q2,20 North Western Region,Driving/in charge of a vehicle under the influence of drugs,Number,5
Recorded crime incidents,2003Q2,20 North Western Region,Endangerment with potential for serious harm/death,Number,2
Recorded crime incidents,2003Q2,20 North Western Region,"Abandoning a child, child neglect and cruelty",Number,21
Recorded crime incidents,2003Q2,20 North Western Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded crime incidents,2003Q2,20 North Western Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded crime incidents,2003Q2,20 North Western Region,Endangering traffic offences,Number,5
Recorded crime incidents,2003Q2,20 North Western Region,Kidnapping and related offences,Number,2
Recorded crime incidents,2003Q2,20 North Western Region,False imprisonment,Number,2
Recorded crime incidents,2003Q2,20 North Western Region,Abduction of person under 16 years of age,Number,0
Recorded crime incidents,2003Q2,20 North Western Region,Human trafficking offences,Number,0
Recorded crime incidents,2003Q2,20 North Western Region,"Robbery, extortion and hijacking offences",Number,44
Recorded crime incidents,2003Q2,20 North Western Region,Robbery of an establishment or institution,Number,9
Recorded crime incidents,2003Q2,20 North Western Region,Robbery of cash or goods in transit,Number,0
Recorded crime incidents,2003Q2,20 North Western Region,Robbery from the person,Number,33
Recorded crime incidents,2003Q2,20 North Western Region,Blackmail or extortion,Number,1
Recorded crime incidents,2003Q2,20 North Western Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,1
Recorded crime incidents,2003Q2,20 North Western Region,Burglary and related offences,Number,1048
Recorded crime incidents,2003Q2,20 North Western Region,Aggravated burglary,Number,13
Recorded crime incidents,2003Q2,20 North Western Region,Burglary (not aggravated),Number,1034
Recorded crime incidents,2003Q2,20 North Western Region,"Possession of an article (with intent to burgle, steal, demand)",Number,1
Recorded crime incidents,2003Q2,20 North Western Region,Theft and related offences,Number,2528
Recorded crime incidents,2003Q2,20 North Western Region,Theft/taking of vehicle and related offences,Number,391
Recorded crime incidents,2003Q2,20 North Western Region,Theft from person,Number,125
Recorded crime incidents,2003Q2,20 North Western Region,Theft from shop,Number,480
Recorded crime incidents,2003Q2,20 North Western Region,"Other thefts, handling stolen property",Number,1532
Recorded crime incidents,2003Q2,20 North Western Region,"Fraud, deception and related offences",Number,167
Recorded crime incidents,2003Q2,20 North Western Region,Controlled drug offences,Number,334
Recorded crime incidents,2003Q2,20 North Western Region,Importation of drugs,Number,2
Recorded crime incidents,2003Q2,20 North Western Region,Cultivation or manufacture of drugs,Number,6
Recorded crime incidents,2003Q2,20 North Western Region,Possession of drugs for sale or supply,Number,50
Recorded crime incidents,2003Q2,20 North Western Region,Possession of drugs for personal use,Number,259
Recorded crime incidents,2003Q2,20 North Western Region,Other drug offences,Number,17
Recorded crime incidents,2003Q2,20 North Western Region,Weapons and Explosives Offences,Number,57
Recorded crime incidents,2003Q2,20 North Western Region,"Explosives, chemical weapons offences",Number,3
Recorded crime incidents,2003Q2,20 North Western Region,Discharging a firearm,Number,8
Recorded crime incidents,2003Q2,20 North Western Region,Possession of a firearm,Number,11
Recorded crime incidents,2003Q2,20 North Western Region,Offensive weapons offences (n.e.c.),Number,35
Recorded crime incidents,2003Q2,20 North Western Region,Fireworks offences,Number,0
Recorded crime incidents,2003Q2,20 North Western Region,Damage to property and to the environment,Number,1752
Recorded crime incidents,2003Q2,20 North Western Region,Arson,Number,73
Recorded crime incidents,2003Q2,20 North Western Region,Criminal damage (not arson),Number,1674
Recorded crime incidents,2003Q2,20 North Western Region,Litter offences,Number,5
Recorded crime incidents,2003Q2,20 North Western Region,Public order and other social code offences,Number,2197
Recorded crime incidents,2003Q2,20 North Western Region,Disorderly conduct,Number,1700
Recorded crime incidents,2003Q2,20 North Western Region,Trespass offences,Number,43
Recorded crime incidents,2003Q2,20 North Western Region,Liquor licensing offences,Number,422
Recorded crime incidents,2003Q2,20 North Western Region,Prostitution offences,Number,1
Recorded crime incidents,2003Q2,20 North Western Region,"Regulated betting/money, collection/trading offences",Number,22
Recorded crime incidents,2003Q2,20 North Western Region,Social code offences (n.e.c.),Number,9
Recorded crime incidents,2003Q2,20 North Western Region,"Offences against government, justice procedures and organisation of crime",Number,221
Recorded crime incidents,2003Q2,20 North Western Region,Offences against government and its agents,Number,17
Recorded crime incidents,2003Q2,20 North Western Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded crime incidents,2003Q2,20 North Western Region,Perverting the course of justice,Number,13
Recorded crime incidents,2003Q2,20 North Western Region,"Offences while in custody, breach of court orders",Number,191
Recorded crime incidents,2003Q2,30 Eastern Region,Homicide offences,Number,3
Recorded crime incidents,2003Q2,30 Eastern Region,Murder,Number,1
Recorded crime incidents,2003Q2,30 Eastern Region,Manslaughter,Number,0
Recorded crime incidents,2003Q2,30 Eastern Region,Infanticide,Number,0
Recorded crime incidents,2003Q2,30 Eastern Region,Dangerous driving leading to death,Number,2
Recorded crime incidents,2003Q2,30 Eastern Region,Sexual offences,Number,104
Recorded crime incidents,2003Q2,30 Eastern Region,Rape and sexual assault,Number,98
Recorded crime incidents,2003Q2,30 Eastern Region,Other sexual offences,Number,6
Recorded crime incidents,2003Q2,30 Eastern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,758
Recorded crime incidents,2003Q2,30 Eastern Region,Murder-attempt,Number,0
Recorded crime incidents,2003Q2,30 Eastern Region,Threat to kill or cause serious harm,Number,0
Recorded crime incidents,2003Q2,30 Eastern Region,Harassment and related offences,Number,58
Recorded crime incidents,2003Q2,30 Eastern Region,"Assault causing harm, poisoning",Number,224
Recorded crime incidents,2003Q2,30 Eastern Region,Other assault,Number,476
Recorded crime incidents,2003Q2,30 Eastern Region,Dangerous or negligent acts,Number,789
Recorded crime incidents,2003Q2,30 Eastern Region,Dangerous driving causing serious bodily harm,Number,0
Recorded crime incidents,2003Q2,30 Eastern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,760
Recorded crime incidents,2003Q2,30 Eastern Region,Driving/in charge of a vehicle under the influence of drugs,Number,2
Recorded crime incidents,2003Q2,30 Eastern Region,Endangerment with potential for serious harm/death,Number,2
Recorded crime incidents,2003Q2,30 Eastern Region,"Abandoning a child, child neglect and cruelty",Number,15
Recorded crime incidents,2003Q2,30 Eastern Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded crime incidents,2003Q2,30 Eastern Region,False alarm/interference with aircraft or air transport facilities,Number,0
